"","year","accomplishment","person","gender","category","female","row_num","p_count","p_flag","person_c"
"381",1995,"First African-American, and first person, to have a song to debut at number one on the Billboard Hot 100 chart","Michael Jackson","African-American Firsts","Arts & Entertainment",0,381,0,0,"Michael Jackson"
"382",1996,"First African-American U.S. Navy four-star admiral","J. Paul Reason","African-American Firsts","Military",0,382,1,0,"J. Paul Reason"
"383",1997,"First African-American to win a men's major golf championship","Tiger Woods","African-American Firsts","Sports",0,383,0,0,"Tiger Woods"
"384",1997,"First African-American model to appear on the cover of Sports Illustrated Swimsuit Edition","Tyra Banks","African-American Firsts","Education & Science",0,384,0,0,"Tyra Banks"
"385",1997,"First African-American UFC champion","Maurice Smith","African-American Firsts","Sports",0,385,0,0,"Maurice Smith"
"386",1997,"First African-American actor to star in the lead role in a comic-book adaptation movie ","Michael Jai White","African-American Firsts","Arts & Entertainment",0,386,0,0,"Michael Jai White"
"387",1997,"First African-American Director of the National Park Service","Robert Stanton","African-American Firsts","Arts & Entertainment",0,387,0,0,"Robert Stanton"
"388",1998,"First African-American appointed U.S. Secretary of Labor","Alexis Herman","African-American Firsts","Politics",0,388,0,0,"Alexis Herman"
"389",1998,"First African-American woman rear admiral in the U.S. Navy","Lillian Fishburne","Female African American Firsts","Military",1,389,0,0,"Lillian Fishburne"
"390",1998,"First African-American Master Chief Petty Officer of the Coast Guard","Vincent W. Patton III","African-American Firsts","Military",0,390,1,0,"Vincent W. Patton III"
"391",1998,"First African-American to play in the Presidents Cup","Tiger Woods","African-American Firsts","Politics",0,391,0,0,"Tiger Woods"
"392",1998,"First African-American woman tenured full professor at Johns Hopkins University","Fannie Gaston-Johansson","Female African American Firsts","Education & Science",1,392,0,0,"Fannie Gaston-Johansson"
"393",1999,"First African-American to be awarded the International Grandmaster title in chess","Maurice Ashley","African-American Firsts","Social & Jobs",0,393,0,0,"Maurice Ashley"
"394",1999,"First African-American Sergeant Major of the Marine Corps","Alford L. McMichael","African-American Firsts","Military",0,394,1,0,"Alford L. McMichael"
"395",1999,"First African-American CEO of a Fortune 500 company","Franklin Raines of Fannie Mae","African-American Firsts","Social & Jobs",0,395,0,0,"Franklin Raines of Fannie Mae"
"396",1999,"First African-American woman university president","Shirley Ann Jackson at Rensselaer Polytechnic Institute","Female African American Firsts","Education & Science",1,396,0,0,"Shirley Ann Jackson at Rensselaer Polytechnic Institute"
"397",2000,"First African-American nominated for Vice President of the United States by a Federal Election Commission-recognized and federally funded political party","Ezola B. Foster","African-American Firsts","Politics",0,397,1,0,"Ezola B. Foster"
